
75|-8
75|-8
90|-8
90|-7
90|-9
90|-8
91|-6
90|-5
91|-5
85|-5
86|-3
90|-1
94|1
98|3
103|4
116|7
128|10
142|15
147|17
151|18
168|18
178|19
181|19
189|18
191|19
194|20
196|21
199|20
200|20
201|18
202|16
202|15
202|14
204|13
205|13
205|12
207|11
208|10
211|9
212|8
219|8
220|8
223|8
228|7
230|8
232|6
236|7
243|6
244|5
252|2
258|0
260|0
264|-2
268|-6
270|1
276|2
282|2
284|7
288|6
290|6
294|5
300|4
302|2
307|-6
309|-7
311|-9
318|2
319|2
320|5
321|3
322|15
323|5
325|3
326|2
322|0
321|1
321|2
322|2
323|1
324|1
325|1
325|2
326|2
326|1
328|13
328|2
328|2
327|2
330|2
327|3
327|3
327|4
327|4
327|5
325|5
327|5
326|5
327|4
326|4
326|4
327|4
328|4
329|11
329|15
362|35
359|36
361|36
360|38
360|38
363|38
364|38
363|38
363|38
365|37
365|37
365|37
364|36
364|36
364|36
366|33
374|36
367|36
367|36
367|37
367|37
368|37
369|37
370|37
371|37
372|37
372|36
373|37
374|40
375|38
375|38
376|37
376|37
378|36
381|36
381|36
377|36
377|36
377|36
386|36
386|36
386|36
386|35
385|35
384|35
382|35
367|35
372|35
370|35
369|35
368|35
368|36
367|36
366|36
365|36
365|37
363|37
357|37
356|37
355|37
352|37
349|37
346|37
335|38
333|38
329|38
315|39
313|40
306|40
286|41
283|41
279|41
270|41
253|42
248|41
233|40
227|39
221|39
205|38
196|38
191|38
187|38
173|38
172|38
171|38
165|38
163|39
161|39
159|39
155|40
152|40
151|42
148|34
147|36
145|-4
142|-6
142|1
139|-10
139|-10
138|-9
137|-7
138|-5
138|-3
138|-2
139|-1
139|3
139|1
138|0
135|0
132|0
126|0
118|-1
116|0
108|0
105|0
103|0
101|0
100|1
100|2
100|3
100|4
100|5
102|5
102|5
106|5
106|5
107|5
108|5
108|5
106|4
105|4
102|2
99|0
94|-3
92|-3
82|-6
82|-8
80|-9
78|-8
76|-6
73|-5
71|-14
71|-9
71|-24
71|-24
70|-18
70|-11
70|-15
70|-10
69|-10
70|-15
71|-16
71|-17
72|-16
72|-15
73|-14
73|-14
74|-10
74|-10
